Date,Open,High,Low,Close,Adj Close,Volume
2021-08-31,43.540001,43.900002,43.259998,43.775002,39.546520,180138382
2021-09-01,44.064999,45.000000,43.946999,44.020000,39.767853,114135172
2021-09-02,43.980000,44.169998,43.455002,43.625000,39.411003,124161702
2021-09-03,43.615002,44.025002,43.278000,43.410000,39.216774,104016579
2021-09-06,43.314999,43.880001,43.314999,43.775002,39.546520,55784411
2021-09-07,43.695000,43.779999,43.080002,43.250000,39.072227,86413291
2021-09-08,42.834999,42.994999,42.244999,42.404999,38.308853,132109308
2021-09-09,41.884998,42.812000,41.349998,42.505001,38.399193,189086621
2021-09-10,42.735001,43.485001,42.369999,42.564999,38.453396,151608361
2021-09-13,42.959999,43.825001,42.859001,43.627998,39.413712,18630685
2021-09-14,43.575001,44.134998,43.450001,43.555000,39.347767,192641762
2021-09-15,43.445000,44.480000,43.430000,44.139999,39.876259,221126861
2021-09-16,44.075001,44.970001,44.075001,44.770000,40.445404,185598411
2021-09-17,45.000000,45.455002,44.355000,45.044998,40.693840,385392982
2021-09-20,44.320000,44.657001,43.145000,43.145000,38.977371,204629300
2021-09-21,43.549999,44.230000,42.255001,42.474998,38.372089,181988223
2021-09-22,42.900002,44.025002,42.900002,43.980000,39.731716,129583974
2021-09-23,44.400002,45.130001,44.090000,45.060001,40.707394,205133028
2021-09-24,44.950001,45.810001,44.500000,45.430000,41.041653,324395421
2021-09-27,45.785000,45.970001,45.345001,45.840000,41.412045,195196130
2021-09-28,45.840000,46.169998,44.869999,45.500000,41.104889,166065990
2021-09-29,46.000000,46.590000,45.652000,46.435001,41.949574,205461578
2021-09-30,46.779999,46.930000,46.345001,46.570000,42.071533,191716362
2021-10-01,45.735001,45.904999,44.634998,45.240002,40.870007,215095589
2021-10-04,45.119999,45.459999,44.470001,44.799999,40.472507,152963709
2021-10-05,45.000000,46.645000,44.845001,46.520000,42.026360,281471241
2021-10-06,46.474998,46.724998,45.650002,46.049999,41.601761,191400085
2021-10-07,46.555000,46.720001,45.599998,46.500000,42.008293,154291815
2021-10-08,46.695000,47.029999,46.500000,46.860001,42.333519,208191732
2021-10-11,46.900002,48.025002,46.770000,47.930000,43.300163,244678652
2021-10-12,47.195000,48.525002,46.950001,48.525002,43.837688,174980639
2021-10-13,48.735001,48.950001,47.195000,47.759998,43.146576,378238931
2021-10-14,48.255001,48.654999,48.000000,48.439999,43.760895,202565119
2021-10-15,48.000000,49.230000,47.955002,49.115002,44.370697,221566294
2021-10-18,49.320000,49.519001,48.955002,49.275002,44.515240,140189076
2021-10-19,49.410000,49.509998,41.889999,49.400002,44.628166,121304250
2021-10-20,49.459999,49.494999,48.490002,49.049999,44.311974,114000700
2021-10-21,49.000000,49.244999,47.785000,48.320000,43.652485,146037620
2021-10-22,48.389999,48.875000,48.134998,48.724998,44.018364,108911852
